Game,Year,Console
Mario Party 5,2003,Nintendo GameCube
Mario Kart: Double Dash!!,2003,Nintendo GameCube
Mario Golf: Toadstool Tour,2003,Nintendo GameCube
"WarioWare, Inc.: Mega Microgame$!",2003,Game Boy Advance
Wario World,2003,Nintendo GameCube
Donkey Kong Country,2003,Game Boy Advance
Super Mario Advance 4: Super Mario Bros. 3,2003,Game Boy Advance
Mario Party-e,2003,Game Boy Advance (e-Reader)
Nintendo Puzzle Collection,2003,Nintendo GameCube
Donkey Kong Jungle Beat,2004,Nintendo GameCube
WarioWare: Touched!,2004,Nintendo DS
Super Mario 64 DS,2004,Nintendo DS
Mario Party 6,2004,Nintendo GameCube
Mario Power Tennis,2004,Nintendo GameCube
WarioWare: Twisted!,2004,Game Boy Advance
Super Mario Fushigi no Korokoro Party,2004,Arcade
Mario Pinball Land,2004,Game Boy Advance
Famicom Mini: Super Mario Bros. 2,2004,Game Boy Advance
Paper Mario: The Thousand-Year Door,2004,Nintendo GameCube
Yoshi Topsy-Turvy,2004,Game Boy Advance
Donkey Kong Country 2,2004,Game Boy Advance
Donkey Konga 2,2004,Nintendo GameCube
Classic NES Series: Super Mario Bros.,2004,Game Boy Advance
Super Mario Fushigi no Janjan Land,2004,Arcade
Mario Golf: Advance Tour,2004,Game Boy Advance
Classic NES Series: Donkey Kong,2004,Game Boy Advance
Classic NES Series: Dr. Mario,2004,Game Boy Advance
Famicom Mini: Wrecking Crew,2004,Game Boy Advance
Mario vs. Donkey Kong,2004,Game Boy Advance
Famicom Mini: Mario Bros.,2004,Game Boy Advance
Mario & Luigi: Partners in Time,2005,Nintendo DS
Super Mario Fushigi no Korokoro Party 2,2005,Arcade
Super Mario Strikers,2005,Nintendo GameCube
Mario Kart DS,2005,Nintendo DS
Mario Party 7,2005,Nintendo GameCube
Donkey Kong Country 3,2005,Game Boy Advance
Super Princess Peach,2005,Nintendo DS
SSX on Tour,2005,Nintendo GameCube
Mario Kart Arcade GP,2005,Arcade
Dr. Mario & Puzzle League,2005,Game Boy Advance
Dance Dance Revolution: Mario Mix,2005,Nintendo GameCube
Donkey Kong: Jungle Fever,2005,Arcade
Mario Superstar Baseball,2005,Nintendo GameCube
Yakuman DS,2005,Nintendo DS
Donkey Konga 3 JP,2005,Nintendo GameCube
NBA Street V3,2005,Nintendo GameCube
DK: King of Swing,2005,Game Boy Advance
Yoshi Touch & Go,2005,Nintendo DS
Mario Party Advance,2005,Game Boy Advance
Mario Tennis: Power Tour,2005,Game Boy Advance
Yoshi's Island DS,2006,Nintendo DS
WarioWare: Smooth Moves,2006,Wii
Mario vs. Donkey Kong 2: March of the Minis,2006,Nintendo DS
Donkey Kong: Banana Kingdom,2006,Arcade
Mario Hoops 3-on-3,2006,Nintendo DS
New Super Mario Bros.,2006,Nintendo DS
Tetris DS,2006,Nintendo DS
Game & Watch Collection,2006,Nintendo DS
Mario Party DS,2007,Nintendo DS
Mario & Sonic at the Olympic Games,2007,Wii
Super Mario Galaxy,2007,Wii
DK: Jungle Climber,2007,Nintendo DS
Donkey Kong Barrel Blast,2007,Wii
Itadaki Street DS,2007,Nintendo DS
Mario Strikers Charged,2007,Wii
Super Paper Mario,2007,Wii
Mario Kart Arcade GP 2,2007,Arcade
Diddy Kong Racing DS,2007,Nintendo DS
Wario: Master of Disguise,2007,Nintendo DS
Mario Party 8,2007,Wii
New Play Control! Donkey Kong Jungle Beat,2008,Wii
Bird & Beans,2008,Nintendo DSi (DSiWare)
WarioWare: Snapped!,2008,Nintendo DSi (DSiWare)
Dr. Mario Express,2008,Nintendo DSi (DSiWare)
Captain Rainbow,2008,Wii
Paper Airplane Chase,2008,Nintendo DSi (DSiWare)
Mario Super Sluggers,2008,Wii
Mario Kart Wii,2008,Wii
Dr. Mario Online Rx,2008,Wii (WiiWare)
Super Smash Bros. Brawl,2008,Wii
Mario & Sonic at the Olympic Games,2008,Nintendo DS
Wario Land: Shake It!,2008,Wii
New Super Mario Bros. Wii,2009,Wii
Mario Party Fushigi no Korokoro Catcher,2009,Arcade
Mario & Sonic at the Olympic Winter Games,2009,Wii
Game & Watch: Donkey Kong Jr.,2009,Nintendo DSi (DSiWare)
Game & Watch: Mario's Cement Factory,2009,Nintendo DSi (DSiWare)
Mario vs. Donkey Kong: Minis March Again!,2009,Nintendo DSi (DSiWare)
Mario & Sonic at the Olympic Winter Games,2009,Nintendo DS
WarioWare: D.I.Y.,2009,Nintendo DS
Mario Clock,2009,Nintendo DSi (DSiWare)
Mario Calculator,2009,Nintendo DSi (DSiWare)
Mario & Luigi: Bowser's Inside Story,2009,Nintendo DS
New Play Control! Mario Power Tennis,2009,Wii
WarioWare: D.I.Y. Showcase,2009,Wii (WiiWare)
Donkey Kong Country Returns,2010,Wii
Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,Nintendo DS
Mario Sports Mix,2010,Wii
Super Mario Galaxy 2,2010,Wii
Super Mario All-Stars Limited Edition,2010,Wii
New Super Mario Bros. Wii Coin World,2011,Arcade
Rhythm Heaven Fever,2011,Wii
Super Mario 3D Land,2011,Nintendo 3DS
Mario & Sonic at the London 2012 Olympic Games,2011,Wii
Fortune Street,2011,Wii
Mario Kart 7,2011,Nintendo 3DS
Nintendo Land,2012,Wii U
New Super Mario Bros. U,2012,Wii U
Paper Mario: Sticker Star,2012,Nintendo 3DS
Mario Party Kurukuru Carnival,2012,Arcade
Mario Tennis Open,2012,Nintendo 3DS
Mario Party 9,2012,Wii
Mario & Sonic at the London 2012 Olympic Games,2012,Nintendo 3DS
New Super Mario Bros. 2,2012,Nintendo 3DS
Dr. Luigi,2013,Wii U
NES Remix,2013,Wii U
Mario Party: Island Tour,2013,Nintendo 3DS
Super Mario 3D World,2013,Wii U
Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013,Wii U
Mario Kart Arcade GP DX,2013,Arcade
Mario Party Fushigi no Korokoro Catcher 2,2013,Arcade
New Super Luigi U,2013,Wii U
Donkey Kong Country Returns 3D,2013,Nintendo 3DS
Mario and Donkey Kong: Minis on the Move,2013,Nintendo 3DS
Photos with Mario,2013,Nintendo 3DS
Game & Wario,2013,Wii U
Luigi's Mansion: Dark Moon,2013,Nintendo 3DS
Mario & Luigi: Dream Team,2013,Nintendo 3DS
Super Smash Bros. for Nintendo 3DS,2014,Nintendo 3DS
Super Smash Bros. for Wii U,2014,Wii U
Ultimate NES Remix,2014,Nintendo 3DS
Mario Kart 8,2014,Wii U
Captain Toad: Treasure Tracker,2014,Wii U
NES Remix Pack,2014,Wii U
NES Remix 2,2014,Wii U
Yoshi's New Island,2014,Nintendo 3DS
Donkey Kong Country: Tropical Freeze,2014,Wii U
Mario Golf: World Tour,2014,Nintendo 3DS
Minecraft: Wii U Edition,2015,Wii U
Mario & Luigi: Paper Jam,2015,Nintendo 3DS
Skylanders: SuperChargers,2015,Wii U / Wii / Nintendo 3DS
Super Mario Maker,2015,Wii U
Yoshi's Woolly World,2015,Wii U
Rhythm Heaven Megamix,2015,Nintendo 3DS
Mario Tennis: Ultra Smash,2015,Wii U
Dr. Mario: Miracle Cure,2015,Nintendo 3DS
Puzzle & Dragons: Super Mario Bros. Edition,2015,Nintendo 3DS
amiibo tap: Nintendo's Greatest Bits,2015,Wii U
Mario Party 10,2015,Wii U
Mario vs. Donkey Kong: Tipping Stars,2015,Wii U / Nintendo 3DS
Luigi's Mansion Arcade,2015,Arcade
Super Mario Run,2016,iOS
Super Mario Maker for Nintendo 3DS,2016,Nintendo 3DS
Mario Party: Star Rush,2016,Nintendo 3DS
Paper Mario: Color Splash,2016,Wii U
Mario & Sonic at the Rio 2016 Olympic Games,2016,Wii U
Mario & Sonic at the Rio 2016 Olympic Games Arcade Edition,2016,Arcade
Mario & Sonic at the Rio 2016 Olympic Games,2016,Nintendo 3DS
