Game,Relation,Figure,Species,Console,Year,Sales
super paper mario,BOSS_IN,birdo,,Wii,2007,3.71
mario golf: toadstool tour,BOSS_IN,birdo,,GC,2003,1.53
mario tennis,BOSS_IN,birdo,,GBC,2000,3.59
mario tennis,BOSS_IN,birdo,,N64,2000,3.59
mario & sonic at the olympic games,BOSS_IN,birdo,,Wii,2007,13.08
mario & sonic at the olympic games,BOSS_IN,birdo,,DS,2008,13.08
bs super mario usa,BOSS_IN,birdo,,SNES,1996,
mario kart arcade gp 2,BOSS_IN,birdo,,Arcade,2007,
mario party 8,BOSS_IN,birdo,,Wii,2007,8.27
mario & luigi: brothership,BOSS_IN,birdo,,Switch,2024,
paper mario: sticker star,BOSS_IN,birdo,,3DS,2012,2.3
mario golf: advance tour,BOSS_IN,birdo,,GBA,2004,0.45
mario power tennis,BOSS_IN,birdo,,GC,2004,1.22
mario & sonic at the olympic winter games,BOSS_IN,birdo,,Wii,2009,7.99
mario & sonic at the olympic winter games,BOSS_IN,birdo,,DS,2009,7.99
super mario maker,BOSS_IN,birdo,,WiiU,2015,3.21
mario kart wii,BOSS_IN,birdo,,Wii,2008,35.52
paper mario: color splash,BOSS_IN,birdo,,WiiU,2016,0.42
mario golf: world tour,BOSS_IN,birdo,,3DS,2014,0.48
mario tennis open,BOSS_IN,birdo,,3DS,2012,0.95
mario & sonic at the london 2012 olympic games,BOSS_IN,birdo,,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,BOSS_IN,birdo,,3DS,2012,4.9
super mario maker 2,BOSS_IN,birdo,,Switch,2019,
mario kart 7,BOSS_IN,birdo,,3DS,2011,12.66
mario party 9,BOSS_IN,birdo,,Wii,2012,3.13
paper mario: the origami king,BOSS_IN,birdo,,Switch,2020,
mario golf: super rush,BOSS_IN,birdo,,Switch,2021,
mario tennis aces,BOSS_IN,birdo,,Switch,2018,
mario & sonic at the sochi 2014 olympic winter games,BOSS_IN,birdo,,WiiU,2013,0.78
mario party: island tour,BOSS_IN,birdo,,3DS,2013,1.92
mario sports mix,BOSS_IN,birdo,,Wii,2010,2.08
mario & sonic at the rio 2016 olympic games,BOSS_IN,birdo,,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,BOSS_IN,birdo,,3DS,2016,0.8700000000000001
mario kart tour,BOSS_IN,birdo,,Mobile,2019,
super mario party,BOSS_IN,birdo,,Switch,2018,
mario & sonic at the olympic games tokyo 2020,BOSS_IN,birdo,,Switch,2019,
mario kart world,BOSS_IN,birdo,,Switch 2,2025,
mario party superstars,BOSS_IN,birdo,,Switch,2021,
super mario party jamboree,BOSS_IN,birdo,,Switch,2024,
