Game,Relation,Figure,Species,Console,Year,Sales
super smash bros. for wii u,CHARACTER_IN,baby luigi,human,WiiU,2014,
mario & luigi: paper jam,CHARACTER_IN,baby luigi,human,3DS,2015,0.76
mario sports superstars,CHARACTER_IN,baby luigi,human,3DS,2017,
mario kart 8 deluxe,CHARACTER_IN,baby luigi,human,Switch,2017,
super smash bros. ultimate,CHARACTER_IN,baby luigi,human,Switch,2018,
dr. mario world,CHARACTER_IN,baby luigi,human,Mobile,2019,
mario kart tour,CHARACTER_IN,baby luigi,human,Mobile,2019,
warioware: move it!,CHARACTER_IN,baby luigi,human,Switch,2023,
mario kart world,CHARACTER_IN,baby luigi,human,Switch 2,2025,
super mario world 2: yoshi's island,CHARACTER_IN,baby mario,human,SNES,1995,7.03
mario golf,CHARACTER_IN,baby mario,human,GBC,1999,1.78
mario golf,CHARACTER_IN,baby mario,human,N64,1999,1.78
mario tennis,CHARACTER_IN,baby mario,human,GBC,2000,3.59
mario tennis,CHARACTER_IN,baby mario,human,N64,2000,3.59
super smash bros. melee,CHARACTER_IN,baby mario,human,GC,2001,14.14
mario kart: double dash!!,CHARACTER_IN,baby mario,human,GC,2003,13.9
yoshi touch & go,CHARACTER_IN,baby mario,human,DS,2005,0.38
mario superstar baseball,CHARACTER_IN,baby mario,human,GC,2005,1.46
mario kart ds,CHARACTER_IN,baby mario,human,DS,2005,23.21
mario & luigi: partners in time,CHARACTER_IN,baby mario,human,DS,2005,1.29
yoshi's island ds,CHARACTER_IN,baby mario,human,DS,2006,2.76
mario kart arcade gp 2,CHARACTER_IN,baby mario,human,Arcade,2007,
super smash bros. brawl,CHARACTER_IN,baby mario,human,Wii,2008,12.84
mario kart wii,CHARACTER_IN,baby mario,human,Wii,2008,35.52
mario super sluggers,CHARACTER_IN,baby mario,human,Wii,2008,1.89
warioware: d.i.y.,CHARACTER_IN,baby mario,human,DS,2009,
mario tennis open,CHARACTER_IN,baby mario,human,3DS,2012,0.95
yoshi's new island,CHARACTER_IN,baby mario,human,3DS,2014,1.38
mario kart 8,CHARACTER_IN,baby mario,human,WiiU,2014,14.18
super smash bros. for nintendo 3ds,CHARACTER_IN,baby mario,human,3DS,2014,
mario kart arcade gp dx,CHARACTER_IN,baby mario,human,Arcade,2013,
mario & luigi: paper jam,CHARACTER_IN,baby mario,human,3DS,2015,0.76
mario sports superstars,CHARACTER_IN,baby mario,human,3DS,2017,
mario kart 8 deluxe,CHARACTER_IN,baby mario,human,Switch,2017,
warioware gold,CHARACTER_IN,baby mario,human,3DS,2018,
super smash bros. ultimate,CHARACTER_IN,baby mario,human,Switch,2018,
dr. mario world,CHARACTER_IN,baby mario,human,Mobile,2019,
mario kart tour,CHARACTER_IN,baby mario,human,Mobile,2019,
warioware: move it!,CHARACTER_IN,baby mario,human,Switch,2023,
mario kart 8,CHARACTER_IN,baby rosalina,human,WiiU,2014,14.18
mario kart 8 deluxe,CHARACTER_IN,baby rosalina,human,Switch,2017,
super smash bros. ultimate,CHARACTER_IN,baby rosalina,human,Switch,2018,
mario kart tour,CHARACTER_IN,baby rosalina,human,Mobile,2019,
dr. mario world,CHARACTER_IN,baby rosalina,human,Mobile,2019,
mario kart world,CHARACTER_IN,baby rosalina,human,Switch 2,2025,
diddy kong racing,CHARACTER_IN,banjo,honey bear,N64,1997,4.88
mario artist: paint studio,CHARACTER_IN,banjo,honey bear,N64,1999,
super smash bros. ultimate,CHARACTER_IN,banjo,honey bear,Switch,2018,
donkey kong country,CHARACTER_IN,bell kritters,,SNES,1994,13.530000000000001
donkey kong country,CHARACTER_IN,bell kritters,,GBC,2000,13.530000000000001
donkey kong country,CHARACTER_IN,bell kritters,,GBA,2003,13.530000000000001
donkey kong land,CHARACTER_IN,bell kritters,,GB,1995,3.91
donkey kong country 2: diddy's kong quest,CHARACTER_IN,bell kritters,,SNES,1995,5.15
donkey kong land 2,CHARACTER_IN,bell kritters,,GB,1996,
donkey kong country 3: dixie kong's double trouble!,CHARACTER_IN,bell kritters,,SNES,1996,3.51
donkey kong land iii,CHARACTER_IN,bell kritters,,GB,1997,1.03
donkey kong land iii,CHARACTER_IN,bell kritters,,GBC,2000,1.03
donkey kong 64,CHARACTER_IN,bell kritters,,N64,1999,5.27
mario power tennis,CHARACTER_IN,bell kritters,,GC,2004,1.22
dk: king of swing,CHARACTER_IN,bell kritters,,GBA,2005,0.24
super mario strikers,CHARACTER_IN,bell kritters,,GC,2005,1.61
mario strikers charged,CHARACTER_IN,bell kritters,,Wii,2007,2.58
donkey kong barrel blast,CHARACTER_IN,bell kritters,,Wii,2007,1.24
dk: jungle climber,CHARACTER_IN,bell kritters,,DS,2007,
super smash bros. brawl,CHARACTER_IN,bell kritters,,Wii,2008,12.84
mario super sluggers,CHARACTER_IN,bell kritters,,Wii,2008,1.89
super smash bros. for nintendo 3ds,CHARACTER_IN,bell kritters,,3DS,2014,
super smash bros. ultimate,CHARACTER_IN,bell kritters,,Switch,2018,
mario & sonic at the olympic games,CHARACTER_IN,blaze the cat,cat,Wii,2007,13.08
mario & sonic at the olympic games,CHARACTER_IN,blaze the cat,cat,DS,2008,13.08
super smash bros. brawl,CHARACTER_IN,blaze the cat,cat,Wii,2008,12.84
mario & sonic at the olympic winter games,CHARACTER_IN,blaze the cat,cat,Wii,2009,7.99
mario & sonic at the olympic winter games,CHARACTER_IN,blaze the cat,cat,DS,2009,7.99
mario & sonic at the london 2012 olympic games,CHARACTER_IN,blaze the cat,cat,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,CHARACTER_IN,blaze the cat,cat,3DS,2012,4.9
mario & sonic at the sochi 2014 olympic winter games,CHARACTER_IN,blaze the cat,cat,WiiU,2013,0.78
super smash bros. for nintendo 3ds,CHARACTER_IN,blaze the cat,cat,3DS,2014,
super smash bros. for wii u,CHARACTER_IN,blaze the cat,cat,WiiU,2014,
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,blaze the cat,cat,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,blaze the cat,cat,3DS,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games arcade edition,CHARACTER_IN,blaze the cat,cat,Arcade,2016,
super smash bros. ultimate,CHARACTER_IN,blaze the cat,cat,Switch,2018,
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,blaze the cat,cat,Switch,2019,
yume kōjō: doki doki panic,CHARACTER_IN,birdo,,famicom disk system,1987,
super mario bros. 2,CHARACTER_IN,birdo,,NES,1988,7.46
mario's egg catch,CHARACTER_IN,birdo,,Other Handheld,1990,
super mario bros. & friends: when i grow up,CHARACTER_IN,birdo,,PC,1992,
super mario all-stars,CHARACTER_IN,birdo,,SNES,1993,10.55
wario's woods,CHARACTER_IN,birdo,,SNES,1994,
wario's woods,CHARACTER_IN,birdo,,NES,1994,
super mario all-stars + super mario world,CHARACTER_IN,birdo,,SNES,1994,
super mario rpg: legend of the seven stars,CHARACTER_IN,birdo,,SNES,1996,2.14
mario tennis,CHARACTER_IN,birdo,,GBC,2000,3.59
mario tennis,CHARACTER_IN,birdo,,N64,2000,3.59
super smash bros. melee,CHARACTER_IN,birdo,,GC,2001,14.14
super mario advance,CHARACTER_IN,birdo,,GBA,2001,5.49
mario golf: toadstool tour,CHARACTER_IN,birdo,,GC,2003,1.53
mario kart: double dash!!,CHARACTER_IN,birdo,,GC,2003,13.9
mario & luigi: superstar saga,CHARACTER_IN,birdo,,GBA,2003,2.17
mario golf: advance tour,CHARACTER_IN,birdo,,GBA,2004,0.45
mario superstar baseball,CHARACTER_IN,birdo,,GC,2005,1.46
yakuman ds,CHARACTER_IN,birdo,,DS,2005,
mario kart ds,CHARACTER_IN,birdo,,DS,2005,23.21
mario party 7,CHARACTER_IN,birdo,,GC,2005,1.57
mario hoops 3-on-3,CHARACTER_IN,birdo,,DS,2006,
mario party 8,CHARACTER_IN,birdo,,Wii,2007,8.27
itadaki street ds,CHARACTER_IN,birdo,,DS,2007,0.41
mario kart arcade gp 2,CHARACTER_IN,birdo,,Arcade,2007,
mario party fushigi no korokoro catcher,CHARACTER_IN,birdo,,Arcade,2009,
super smash bros. brawl,CHARACTER_IN,birdo,,Wii,2008,12.84
captain rainbow,CHARACTER_IN,birdo,,Wii,2008,0.01
mario kart wii,CHARACTER_IN,birdo,,Wii,2008,35.52
mario super sluggers,CHARACTER_IN,birdo,,Wii,2008,1.89
mario & sonic at the olympic winter games,CHARACTER_IN,birdo,,Wii,2009,7.99
mario & sonic at the olympic winter games,CHARACTER_IN,birdo,,DS,2009,7.99
super mario all-stars limited edition,CHARACTER_IN,birdo,,Wii,2010,
mario sports mix,CHARACTER_IN,birdo,,Wii,2010,2.08
mario & sonic at the london 2012 olympic games,CHARACTER_IN,birdo,,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,CHARACTER_IN,birdo,,3DS,2012,4.9
fortune street,CHARACTER_IN,birdo,,Wii,2011,0.48
mario party 9,CHARACTER_IN,birdo,,Wii,2012,3.13
mario tennis open,CHARACTER_IN,birdo,,3DS,2012,0.95
paper mario: sticker star,CHARACTER_IN,birdo,,3DS,2012,2.3
mario & sonic at the sochi 2014 olympic winter games,CHARACTER_IN,birdo,,WiiU,2013,0.78
mario party: island tour,CHARACTER_IN,birdo,,3DS,2013,1.92
nes remix 2,CHARACTER_IN,birdo,,WiiU,2014,
mario golf: world tour,CHARACTER_IN,birdo,,3DS,2014,0.48
mario kart 8,CHARACTER_IN,birdo,,WiiU,2014,14.18
super smash bros. for wii u,CHARACTER_IN,birdo,,WiiU,2014,
ultimate nes remix,CHARACTER_IN,birdo,,3DS,2014,0.27
super mario maker,CHARACTER_IN,birdo,,WiiU,2015,3.21
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,birdo,,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,birdo,,3DS,2016,0.8700000000000001
mario party challenge world,CHARACTER_IN,birdo,,Arcade,2016,
minecraft: wii u edition,CHARACTER_IN,birdo,,WiiU,2015,
paper mario: color splash,CHARACTER_IN,birdo,,WiiU,2016,0.42
mario sports superstars,CHARACTER_IN,birdo,,3DS,2017,
mario kart 8 deluxe,CHARACTER_IN,birdo,,Switch,2017,
minecraft: nintendo switch edition,CHARACTER_IN,birdo,,Switch,2017,
mario & luigi: superstar saga + bowser's minions,CHARACTER_IN,birdo,,3DS,2017,
mario party: the top 100,CHARACTER_IN,birdo,,3DS,2017,
minecraft: new nintendo 3ds edition,CHARACTER_IN,birdo,,3DS,2017,
minecraft: bedrock edition,CHARACTER_IN,birdo,,Switch,2018,
super mario party,CHARACTER_IN,birdo,,Switch,2018,
super smash bros. ultimate,CHARACTER_IN,birdo,,Switch,2018,
mario kart tour,CHARACTER_IN,birdo,,Mobile,2019,
paper mario: the origami king,CHARACTER_IN,birdo,,Switch,2020,
mario golf: super rush,CHARACTER_IN,birdo,,Switch,2021,
mario party superstars,CHARACTER_IN,birdo,,Switch,2021,
super mario rpg,CHARACTER_IN,birdo,,Switch,2023,
nintendo world championships: nes edition,CHARACTER_IN,birdo,,Switch,2024,
super mario party jamboree,CHARACTER_IN,birdo,,Switch,2024,
mario & luigi: brothership,CHARACTER_IN,birdo,,Switch,2024,
mario kart world,CHARACTER_IN,birdo,,Switch 2,2025,
super mario bros. 3,CHARACTER_IN,boom boom,,NES,1988,22.48
super mario bros. 3,CHARACTER_IN,boom boom,,Game & Watch,1990,22.48
super mario all-stars,CHARACTER_IN,boom boom,,SNES,1993,10.55
super mario all-stars + super mario world,CHARACTER_IN,boom boom,,SNES,1994,
super mario advance 4: super mario bros. 3,CHARACTER_IN,boom boom,,GBA,2003,
super mario all-stars limited edition,CHARACTER_IN,boom boom,,Wii,2010,
super mario 3d land,CHARACTER_IN,boom boom,,3DS,2011,10.81
new super mario bros. u,CHARACTER_IN,boom boom,,WiiU,2012,5.22
new super luigi u,CHARACTER_IN,boom boom,,WiiU,2013,2.24
super mario 3d world,CHARACTER_IN,boom boom,,WiiU,2013,4.32
puzzle & dragons: super mario bros. edition,CHARACTER_IN,boom boom,,3DS,2015,
minecraft: wii u edition,CHARACTER_IN,boom boom,,WiiU,2015,
super mario run,CHARACTER_IN,boom boom,,Mobile,2016,
super mario run,CHARACTER_IN,boom boom,,Mobile,2017,
mario sports superstars,CHARACTER_IN,boom boom,,3DS,2017,
minecraft: nintendo switch edition,CHARACTER_IN,boom boom,,Switch,2017,
minecraft: new nintendo 3ds edition,CHARACTER_IN,boom boom,,3DS,2017,
minecraft: bedrock edition,CHARACTER_IN,boom boom,,Switch,2018,
mario tennis aces,CHARACTER_IN,boom boom,,Switch,2018,
super mario party,CHARACTER_IN,boom boom,,Switch,2018,
super smash bros. ultimate,CHARACTER_IN,boom boom,,Switch,2018,
new super mario bros. u deluxe,CHARACTER_IN,boom boom,,Switch,2019,
super mario maker 2,CHARACTER_IN,boom boom,,Switch,2019,
dr. mario world,CHARACTER_IN,boom boom,,Mobile,2019,
super mario 3d world + bowser's fury,CHARACTER_IN,boom boom,,Switch,2021,
mario strikers: battle league,CHARACTER_IN,boom boom,,Switch,2022,
super mario party jamboree,CHARACTER_IN,boom boom,,Switch,2024,
super mario bros.: the lost levels,CHARACTER_IN,bowser's brother,koopa,famicom disk system,1986,2.65
super mario all-stars,CHARACTER_IN,bowser's brother,koopa,SNES,1993,10.55
super mario all-stars + super mario world,CHARACTER_IN,bowser's brother,koopa,SNES,1994,
super mario bros. deluxe,CHARACTER_IN,bowser's brother,koopa,GBC,1999,
super mario all-stars limited edition,CHARACTER_IN,bowser's brother,koopa,Wii,2010,
super smash bros. for nintendo 3ds,CHARACTER_IN,bowser's brother,koopa,3DS,2014,
super smash bros. for wii u,CHARACTER_IN,bowser's brother,koopa,WiiU,2014,
super smash bros. ultimate,CHARACTER_IN,bowser's brother,koopa,Switch,2018,
game & watch: super mario bros.,CHARACTER_IN,bowser's brother,koopa,Game & Watch,2020,
super mario sunshine,CHARACTER_IN,bowser jr.,koopa,GC,2002,6.31
mario golf: toadstool tour,CHARACTER_IN,bowser jr.,koopa,GC,2003,1.53
mario kart: double dash!!,CHARACTER_IN,bowser jr.,koopa,GC,2003,13.9
mario golf: advance tour,CHARACTER_IN,bowser jr.,koopa,GBA,2004,0.45
mario power tennis,CHARACTER_IN,bowser jr.,koopa,GC,2004,1.22
mario superstar baseball,CHARACTER_IN,bowser jr.,koopa,GC,2005,1.46
new super mario bros.,CHARACTER_IN,bowser jr.,koopa,DS,2006,29.8
mario hoops 3-on-3,CHARACTER_IN,bowser jr.,koopa,DS,2006,
itadaki street ds,CHARACTER_IN,bowser jr.,koopa,DS,2007,0.41
mario strikers charged,CHARACTER_IN,bowser jr.,koopa,Wii,2007,2.58
super mario galaxy,CHARACTER_IN,bowser jr.,koopa,Wii,2007,11.35
mario party ds,CHARACTER_IN,bowser jr.,koopa,DS,2007,8.91
mario kart wii,CHARACTER_IN,bowser jr.,koopa,Wii,2008,35.52
super smash bros. brawl,CHARACTER_IN,bowser jr.,koopa,Wii,2008,12.84
mario super sluggers,CHARACTER_IN,bowser jr.,koopa,Wii,2008,1.89
new play control! mario power tennis,CHARACTER_IN,bowser jr.,koopa,Wii,2009,1.46
mario & sonic at the olympic winter games,CHARACTER_IN,bowser jr.,koopa,Wii,2009,7.99
mario & sonic at the olympic winter games,CHARACTER_IN,bowser jr.,koopa,DS,2009,7.99
new super mario bros. wii,CHARACTER_IN,bowser jr.,koopa,Wii,2009,28.32
super mario galaxy 2,CHARACTER_IN,bowser jr.,koopa,Wii,2010,7.51
mario sports mix,CHARACTER_IN,bowser jr.,koopa,Wii,2010,2.08
mario & sonic at the london 2012 olympic games,CHARACTER_IN,bowser jr.,koopa,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,CHARACTER_IN,bowser jr.,koopa,3DS,2012,4.9
fortune street,CHARACTER_IN,bowser jr.,koopa,Wii,2011,0.48
mario party 9,CHARACTER_IN,bowser jr.,koopa,Wii,2012,3.13
mario tennis open,CHARACTER_IN,bowser jr.,koopa,3DS,2012,0.95
paper mario: sticker star,CHARACTER_IN,bowser jr.,koopa,3DS,2012,2.3
new super mario bros. u,CHARACTER_IN,bowser jr.,koopa,WiiU,2012,5.22
new super luigi u,CHARACTER_IN,bowser jr.,koopa,WiiU,2013,2.24
mario & luigi: dream team,CHARACTER_IN,bowser jr.,koopa,3DS,2013,2.08
mario kart arcade gp dx,CHARACTER_IN,bowser jr.,koopa,Arcade,2013,
mario & sonic at the sochi 2014 olympic winter games,CHARACTER_IN,bowser jr.,koopa,WiiU,2013,0.78
mario party: island tour,CHARACTER_IN,bowser jr.,koopa,3DS,2013,1.92
mario golf: world tour,CHARACTER_IN,bowser jr.,koopa,3DS,2014,0.48
super smash bros. for nintendo 3ds,CHARACTER_IN,bowser jr.,koopa,3DS,2014,
super smash bros. for wii u,CHARACTER_IN,bowser jr.,koopa,WiiU,2014,
mario party 10,CHARACTER_IN,bowser jr.,koopa,WiiU,2015,1.58
mario kart 8,CHARACTER_IN,bowser jr.,koopa,WiiU,2014,14.18
puzzle & dragons: super mario bros. edition,CHARACTER_IN,bowser jr.,koopa,3DS,2015,
super mario maker,CHARACTER_IN,bowser jr.,koopa,WiiU,2015,3.21
mario tennis: ultra smash,CHARACTER_IN,bowser jr.,koopa,WiiU,2015,
mario & luigi: paper jam,CHARACTER_IN,bowser jr.,koopa,3DS,2015,0.76
minecraft: wii u edition,CHARACTER_IN,bowser jr.,koopa,WiiU,2015,
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,bowser jr.,koopa,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,bowser jr.,koopa,3DS,2016,0.8700000000000001
mario party: star rush,CHARACTER_IN,bowser jr.,koopa,3DS,2016,0.3
super mario maker for nintendo 3ds,CHARACTER_IN,bowser jr.,koopa,3DS,2016,
mario sports superstars,CHARACTER_IN,bowser jr.,koopa,3DS,2017,
mario kart 8 deluxe,CHARACTER_IN,bowser jr.,koopa,Switch,2017,
minecraft: nintendo switch edition,CHARACTER_IN,bowser jr.,koopa,Switch,2017,
mario + rabbids kingdom battle,CHARACTER_IN,bowser jr.,koopa,Switch,2017,
mario & luigi: superstar saga + bowser's minions,CHARACTER_IN,bowser jr.,koopa,3DS,2017,
mario party: the top 100,CHARACTER_IN,bowser jr.,koopa,3DS,2017,
minecraft: new nintendo 3ds edition,CHARACTER_IN,bowser jr.,koopa,3DS,2017,
minecraft: bedrock edition,CHARACTER_IN,bowser jr.,koopa,Switch,2018,
mario tennis aces,CHARACTER_IN,bowser jr.,koopa,Switch,2018,
super mario party,CHARACTER_IN,bowser jr.,koopa,Switch,2018,
super smash bros. ultimate,CHARACTER_IN,bowser jr.,koopa,Switch,2018,
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,bowser jr.,koopa,3DS,2018,
new super mario bros. u deluxe,CHARACTER_IN,bowser jr.,koopa,Switch,2019,
super mario maker 2,CHARACTER_IN,bowser jr.,koopa,Switch,2019,
dr. mario world,CHARACTER_IN,bowser jr.,koopa,Mobile,2019,
mario kart tour,CHARACTER_IN,bowser jr.,koopa,Mobile,2019,
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,bowser jr.,koopa,Switch,2019,
paper mario: the origami king,CHARACTER_IN,bowser jr.,koopa,Switch,2020,
super mario 3d all-stars,CHARACTER_IN,bowser jr.,koopa,Switch,2020,
mario kart live: home circuit,CHARACTER_IN,bowser jr.,koopa,Switch,2020,
super mario 3d world + bowser's fury,CHARACTER_IN,bowser jr.,koopa,Switch,2021,
mario golf: super rush,CHARACTER_IN,bowser jr.,koopa,Switch,2021,
mario party superstars,CHARACTER_IN,bowser jr.,koopa,Switch,2021,
mario strikers: battle league,CHARACTER_IN,bowser jr.,koopa,Switch,2022,
super mario bros. wonder,CHARACTER_IN,bowser jr.,koopa,Switch,2023,
super mario party jamboree,CHARACTER_IN,bowser jr.,koopa,Switch,2024,
mario & luigi: brothership,CHARACTER_IN,bowser jr.,koopa,Switch,2024,
vs. pinball,CHARACTER_IN,bubbles,beanish,Arcade,1984,
super smash bros. melee,CHARACTER_IN,bubbles,beanish,GC,2001,14.14
warioware: twisted!,CHARACTER_IN,bubbles,beanish,GBA,2004,0.74
dk: king of swing,CHARACTER_IN,bubbles,beanish,GBA,2005,0.24
warioware: smooth moves,CHARACTER_IN,bubbles,beanish,Wii,2006,2.89
warioware: d.i.y.,CHARACTER_IN,bubbles,beanish,DS,2009,
warioware: d.i.y. showcase,CHARACTER_IN,bubbles,beanish,Wii,2009,
super smash bros. ultimate,CHARACTER_IN,bubbles,beanish,Switch,2018,
super mario bros.,CHARACTER_IN,bowser,koopa,NES,1985,45.31
super mario bros.,CHARACTER_IN,bowser,koopa,Game & Watch,1986,45.31
super mario bros.,CHARACTER_IN,bowser,koopa,Game & Watch,1989,45.31
super mario bros.,CHARACTER_IN,bowser,koopa,Arcade,1992,45.31
vs. super mario bros.,CHARACTER_IN,bowser,koopa,Arcade,1986,
super mario bros.: the lost levels,CHARACTER_IN,bowser,koopa,famicom disk system,1986,2.65
super mario bros. special,CHARACTER_IN,bowser,koopa,PC,1986,
all night nippon: super mario bros.,CHARACTER_IN,bowser,koopa,famicom disk system,1986,
i am a teacher: super mario sweater,CHARACTER_IN,bowser,koopa,famicom disk system,1986,
super mario bros. 3,CHARACTER_IN,bowser,koopa,NES,1988,22.48
super mario bros. 3,CHARACTER_IN,bowser,koopa,Game & Watch,1990,22.48
super mario world,CHARACTER_IN,bowser,koopa,SNES,1990,26.07
super mario world,CHARACTER_IN,bowser,koopa,Arcade,1993,26.07
mario roulette,CHARACTER_IN,bowser,koopa,Arcade,1991,
mario teaches typing,CHARACTER_IN,bowser,koopa,PC,1992,
mario teaches typing,CHARACTER_IN,bowser,koopa,PC,1994,
mario teaches typing,CHARACTER_IN,bowser,koopa,PC,1995,
super mario bros. & friends: when i grow up,CHARACTER_IN,bowser,koopa,PC,1992,
super mario kart,CHARACTER_IN,bowser,koopa,SNES,1992,8.76
mario is missing!,CHARACTER_IN,bowser,koopa,SNES,1993,
mario is missing!,CHARACTER_IN,bowser,koopa,PC,1993,
mario is missing!,CHARACTER_IN,bowser,koopa,NES,1993,
mario undōkai,CHARACTER_IN,bowser,koopa,Arcade,1993,
super mario all-stars,CHARACTER_IN,bowser,koopa,SNES,1993,10.55
super mario all-stars + super mario world,CHARACTER_IN,bowser,koopa,SNES,1994,
yoshi's safari,CHARACTER_IN,bowser,koopa,SNES,1993,
mario's time machine,CHARACTER_IN,bowser,koopa,SNES,1993,
mario's time machine,CHARACTER_IN,bowser,koopa,PC,1993,
mario's time machine,CHARACTER_IN,bowser,koopa,NES,1994,
mario's early years! fun with numbers,CHARACTER_IN,bowser,koopa,PC,1993,
mario's early years! fun with numbers,CHARACTER_IN,bowser,koopa,SNES,1994,
mario's early years! fun with letters,CHARACTER_IN,bowser,koopa,PC,1993,
mario's early years! fun with letters,CHARACTER_IN,bowser,koopa,SNES,1994,
mario's early years! preschool fun,CHARACTER_IN,bowser,koopa,PC,1993,
mario's early years! preschool fun,CHARACTER_IN,bowser,koopa,SNES,1994,
hotel mario,CHARACTER_IN,bowser,koopa,Philips CD-i,1994,
mario's game gallery,CHARACTER_IN,bowser,koopa,PC,1995,
mario clash,CHARACTER_IN,bowser,koopa,Virtual Boy,1995,
super mario rpg: legend of the seven stars,CHARACTER_IN,bowser,koopa,SNES,1996,2.14
super mario 64,CHARACTER_IN,bowser,koopa,N64,1996,22.19
mario teaches typing 2,CHARACTER_IN,bowser,koopa,PC,1996,
mario kart 64,CHARACTER_IN,bowser,koopa,N64,1996,9.87
wrecking crew '98,CHARACTER_IN,bowser,koopa,SNES,1998,
mario's fundamentals,CHARACTER_IN,bowser,koopa,PC,1998,
mario party,CHARACTER_IN,bowser,koopa,N64,1998,2.7
super mario bros. deluxe,CHARACTER_IN,bowser,koopa,GBC,1999,
mario golf,CHARACTER_IN,bowser,koopa,GBC,1999,1.78
mario golf,CHARACTER_IN,bowser,koopa,N64,1999,1.78
mario party 2,CHARACTER_IN,bowser,koopa,N64,1999,2.5
mario artist: paint studio,CHARACTER_IN,bowser,koopa,N64,1999,
paper mario,CHARACTER_IN,bowser,koopa,N64,2000,1.38
mario tennis,CHARACTER_IN,bowser,koopa,GBC,2000,3.59
mario tennis,CHARACTER_IN,bowser,koopa,N64,2000,3.59
mario party 3,CHARACTER_IN,bowser,koopa,N64,2000,1.91
mario kart: super circuit,CHARACTER_IN,bowser,koopa,GBA,2001,5.47
super mario world: super mario advance 2,CHARACTER_IN,bowser,koopa,GBA,2001,
super mario sunshine,CHARACTER_IN,bowser,koopa,GC,2002,6.31
mario party 4,CHARACTER_IN,bowser,koopa,GC,2002,2.47
mario party-e,CHARACTER_IN,bowser,koopa,GBA,2003,
super mario fushigi no janjan land,CHARACTER_IN,bowser,koopa,Arcade,2004,
nintendo puzzle collection,CHARACTER_IN,bowser,koopa,GC,2003,0.13
super mario advance 4: super mario bros. 3,CHARACTER_IN,bowser,koopa,GBA,2003,
mario golf: toadstool tour,CHARACTER_IN,bowser,koopa,GC,2003,1.53
mario kart: double dash!!,CHARACTER_IN,bowser,koopa,GC,2003,13.9
mario party 5,CHARACTER_IN,bowser,koopa,GC,2003,2.08
mario & luigi: superstar saga,CHARACTER_IN,bowser,koopa,GBA,2003,2.17
mario golf: advance tour,CHARACTER_IN,bowser,koopa,GBA,2004,0.45
paper mario: the thousand-year door,CHARACTER_IN,bowser,koopa,GC,2004,2.25
paper mario: the thousand-year door,CHARACTER_IN,bowser,koopa,Switch,2024,2.25
mario pinball land,CHARACTER_IN,bowser,koopa,GBA,2004,0.69
super mario fushigi no korokoro party,CHARACTER_IN,bowser,koopa,Arcade,2004,
mario power tennis,CHARACTER_IN,bowser,koopa,GC,2004,1.22
mario party 6,CHARACTER_IN,bowser,koopa,GC,2004,1.65
super mario 64 ds,CHARACTER_IN,bowser,koopa,DS,2004,
mario party advance,CHARACTER_IN,bowser,koopa,GBA,2005,0.98
dance dance revolution: mario mix,CHARACTER_IN,bowser,koopa,GC,2005,0.47
mario tennis: power tour,CHARACTER_IN,bowser,koopa,GBA,2005,0.52
super mario fushigi no korokoro party 2,CHARACTER_IN,bowser,koopa,Arcade,2005,
mario kart arcade gp,CHARACTER_IN,bowser,koopa,Arcade,2005,
super princess peach,CHARACTER_IN,bowser,koopa,DS,2005,1.03
mario party 7,CHARACTER_IN,bowser,koopa,GC,2005,1.57
mario superstar baseball,CHARACTER_IN,bowser,koopa,GC,2005,1.46
mario kart ds,CHARACTER_IN,bowser,koopa,DS,2005,23.21
super mario strikers,CHARACTER_IN,bowser,koopa,GC,2005,1.61
mario & luigi: partners in time,CHARACTER_IN,bowser,koopa,DS,2005,1.29
new super mario bros.,CHARACTER_IN,bowser,koopa,DS,2006,29.8
mario hoops 3-on-3,CHARACTER_IN,bowser,koopa,DS,2006,
mario kart arcade gp 2,CHARACTER_IN,bowser,koopa,Arcade,2007,
super paper mario,CHARACTER_IN,bowser,koopa,Wii,2007,3.71
mario strikers charged,CHARACTER_IN,bowser,koopa,Wii,2007,2.58
mario party 8,CHARACTER_IN,bowser,koopa,Wii,2007,8.27
super mario galaxy,CHARACTER_IN,bowser,koopa,Wii,2007,11.35
mario party ds,CHARACTER_IN,bowser,koopa,DS,2007,8.91
mario & sonic at the olympic games,CHARACTER_IN,bowser,koopa,Wii,2007,13.08
mario & sonic at the olympic games,CHARACTER_IN,bowser,koopa,DS,2008,13.08
mario kart wii,CHARACTER_IN,bowser,koopa,Wii,2008,35.52
mario super sluggers,CHARACTER_IN,bowser,koopa,Wii,2008,1.89
