Character,Game,Relation,Species
Luigi,Mario Tennis Aces,CHARACTER_IN,Human
Luigi,Super Mario Party,CHARACTER_IN,Human
Luigi,Luigi's Mansion,CHARACTER_IN,Human
Luigi,Super Smash Bros. Ultimate,CHARACTER_IN,Human
Luigi,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,CHARACTER_IN,Human
Luigi,New Super Mario Bros. U Deluxe,CHARACTER_IN,Human
Luigi,Tetris 99,CHARACTER_IN,Human
Luigi,Super Mario Maker 2,CHARACTER_IN,Human
Luigi,Dr. Mario World,CHARACTER_IN,Human
Luigi,Mario Kart Tour ( 2019 Halloween Tour onwards),CHARACTER_IN,Human
Luigi,Luigi's Mansion 3,CHARACTER_IN,Human
