Character,Game,Relation,Species
Petey Piranha,Mario Tennis Aces,CHARACTER_IN,Piranha Plant
Petey Piranha,Super Smash Bros. Ultimate,CHARACTER_IN,Piranha Plant
Petey Piranha,Super Mario 3D All-Stars,CHARACTER_IN,Piranha Plant
Petey Piranha,Dr. Mario World,CHARACTER_IN,Piranha Plant
Petey Piranha,Mario Party Superstars,CHARACTER_IN,Piranha Plant
Petey Piranha,Mario Kart Tour,CHARACTER_IN,Piranha Plant
Petey Piranha,Mario Kart 8 Deluxe,CHARACTER_IN,Piranha Plant
Petey Piranha,WarioWare: Move It!,CHARACTER_IN,Piranha Plant
Petey Piranha,Super Mario Party Jamboree,CHARACTER_IN,Piranha Plant
Pink Gold Peach,Mario Kart 8,CHARACTER_IN,
Pink Gold Peach,Nintendo Badge Arcade,CHARACTER_IN,
Pink Gold Peach,Mario Sports Superstars,CHARACTER_IN,
Pink Gold Peach,Mario Kart 8 Deluxe,CHARACTER_IN,
Pink Gold Peach,Super Smash Bros. Ultimate,CHARACTER_IN,
Pink Gold Peach,Mario Kart Tour,CHARACTER_IN,
Plum,Mario Golf,CHARACTER_IN,Human
Plum,Mario Golf,CHARACTER_IN,Human
Plum,Super Smash Bros. Melee,CHARACTER_IN,Human
Plum,Super Smash Bros. Brawl,CHARACTER_IN,Human
Pom Pom,Super Mario 3D Land,CHARACTER_IN,Boom Boom
Pom Pom,Super Mario 3D World,CHARACTER_IN,Boom Boom
Pom Pom,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Boom Boom
Pom Pom,Mario Sports Superstars,CHARACTER_IN,Boom Boom
Pom Pom,Super Mario Party,CHARACTER_IN,Boom Boom
Pom Pom,Super Smash Bros. Ultimate,CHARACTER_IN,Boom Boom
Pom Pom,Super Mario Maker 2,CHARACTER_IN,Boom Boom
Pom Pom,Dr. Mario World,CHARACTER_IN,Boom Boom
Pom Pom,Super Mario 3D World + Bowser's Fury,CHARACTER_IN,Boom Boom
Pom Pom,Super Mario Party Jamboree,CHARACTER_IN,Boom Boom
Princess Daisy,Super Mario Land,CHARACTER_IN,Human
Princess Daisy,Super Mario Bros. Print World,CHARACTER_IN,Human
Princess Daisy,NES Open Tournament Golf,CHARACTER_IN,Human
Princess Daisy,Mario Tennis,CHARACTER_IN,Human
Princess Daisy,Mario Tennis,CHARACTER_IN,Human
Princess Daisy,Mario Party 3,CHARACTER_IN,Human
Princess Daisy,Super Smash Bros. Melee,CHARACTER_IN,Human
Princess Daisy,Mario Party 4,CHARACTER_IN,Human
Princess Daisy,Mario Party-e,CHARACTER_IN,Human
Princess Daisy,Mario Golf: Toadstool Tour,CHARACTER_IN,Human
Princess Daisy,Mario Kart: Double Dash!!,CHARACTER_IN,Human
Princess Daisy,Mario Party 5,CHARACTER_IN,Human
Princess Daisy,Mario Golf: Advance Tour,CHARACTER_IN,Human
Princess Daisy,Mario Power Tennis,CHARACTER_IN,Human
Princess Daisy,Mario Party 6,CHARACTER_IN,Human
Princess Daisy,Yakuman DS,CHARACTER_IN,Human
Princess Daisy,Mario Superstar Baseball,CHARACTER_IN,Human
Princess Daisy,Mario Kart Arcade GP,CHARACTER_IN,Human
Princess Daisy,Mario Party 7,CHARACTER_IN,Human
